lineage,label
AY.39.1.3,Delta
AY.39.1.2,Delta
AY.39.1,Delta
AY.5,Delta
B.1.617.2,Delta
AY.39,Delta
AY.24,Delta
AY.23,Delta
AY.4.1,Delta
AY.35,Delta
AY.121,Delta
AY.4,Delta
AY.38,Delta
AY.39.1.1,Delta
AY.43,Delta
AY.99,Delta
AY.28,Delta
AY.126,Delta
AY.23.1,Delta
AY.39.1.4,Delta
B.1.617.1,Kappa
AY.70,Delta
AY.29,Delta
AY.75,Delta
AY.122,Delta
AY.25,Delta
AY.44,Delta
AY.36,Delta
AY.108,Delta
AY.127,Delta
B.1.1.7,Alpha
AY.95,Delta
BA.5.2,Omicron
BA.2,Omicron
BA.2.3,Omicron
BA.5.1.2,Omicron
BA.5.2.1,Omicron
BA.2.76,Omicron
BA.5.1,Omicron
BA.5.5,Omicron
BA.5.1.30,Omicron
BA.2.12.1,Omicron
BA.4.6,Omicron
BA.2.42,Omicron
BA.5.2.26,Omicron
BA.4.1,Omicron
BA.5.6,Omicron
BA.2.38.1,Omicron
BA.5.2.20,Omicron
BA.2.75,Omicron
BA.5.1.23,Omicron
BA.4.6.4,Omicron
BA.2.13,Omicron
BA.4.1.1,Omicron
BA.4,Omicron
BA.5.2.4,Omicron
BF.17,Omicron
BF.1,Omicron
BA.2.74,Omicron
BA.5.3,Omicron
BA.5.7,Omicron
BF.5,Omicron
BE.1,Omicron
BA.5.3.1,Omicron
BF.18,Omicron
BA.2.38,Omicron
BE.1.1,Omicron
BA.5.2.3,Omicron
BA.2.12.2,Omicron
BA.5.1.5,Omicron
BA.2.9,Omicron
BA.2.17,Omicron
BA.5.2.12,Omicron
BA.5,Omicron
BA.5.2.16,Omicron
BA.4.1.7,Omicron
BF.38,Omicron
BA.5.1.35,Omicron
BE.5,Omicron
BE.4,Omicron
BA.5.2.19,Omicron
BA.2.57,Omicron
BA.5.1.10,Omicron
BA.2.5,Omicron
BF.24,Omicron
BF.28,Omicron
BA.2.33,Omicron
BA.2.79,Omicron
BA.4.5,Omicron
BA.5.2.28,Omicron
BA.2.82,Omicron
BF.15,Omicron
BA.2.3.2,Omicron
BA.2.62,Omicron
BF.10,Omicron
BG.2,Omicron
BA.5.2.5,Omicron
BA.2.10.1,Omicron
BF.3,Omicron
BA.5.1.3,Omicron
BA.2.23.1,Omicron
BG.5,Omicron
BA.2.31.1,Omicron
BE.3,Omicron
BF.4,Omicron
BA.5.10,Omicron
BA.5.1.22,Omicron
BF.36,Omicron
BA.2.2,Omicron
BA.5.2.9,Omicron
BA.2.3.16,Omicron
BE.1.1.2,Omicron
BA.2.38.3,Omicron
BA.2.65,Omicron
BA.2.56,Omicron
BA.4.2,Omicron
BF.27,Omicron
BA.3,Omicron
BA.2.3.12,Omicron
BK.1,Omicron
BA.2.10,Omicron
BF.23,Omicron
XAS,Omicron
BA.5.2.44,Omicron
BF.21,Omicron
BE.2,Omicron
BA.5.1.4,Omicron
BA.5.6.1,Omicron
BA.5.2.2,Omicron
XAN,Omicron
BA.5.2.21,Omicron
BA.4.1.9,Omicron
BA.5.2.33,Omicron
BF.26,Omicron
BF.1.1,Omicron
BA.5.1.34,Omicron
BA.4.7,Omicron
BA.2.18,Omicron
BA.2.40.1,Omicron
BA.5.2.24,Omicron
BA.4.4,Omicron
BA.2.64,Omicron
BA.5.9,Omicron
BA.5.1.1,Omicron
BA.5.2.38,Omicron
BA.4.1.5,Omicron
BA.2.1,Omicron
BE.1.4,Omicron
XAZ,Omicron
BF.41,Omicron
BA.5.1.24,Omicron
BA.2.75.3,Omicron
BA.5.2.22,Omicron
BF.7,Omicron
BF.3.1,Omicron
BA.2.9.5,Omicron
BA.4.1.8,Omicron
XBF,Omicron
BN.1.4,Omicron
BR.2.1,Omicron
CH.1.1.7,Omicron
BQ.1.1,Omicron
GP.1,Omicron
XBF.8,Omicron
BA.5.2.7,Omicron
BN.1,Omicron
BA.2.75.8,Omicron
BN.1.2,Omicron
XBF.5,Omicron
CM.8.1,Omicron
XBB.1,Omicron
BN.1.1,Omicron
DG.1,Omicron
BQ.1,Omicron
BA.2.3.20,Omicron
BQ.1.10,Omicron
XBF.6,Omicron
BR.2,Omicron
BE.1.1.1,Omicron
XBF.2,Omicron
BN.1.3,Omicron
BA.5.2.47,Omicron
BQ.1.1.22,Omicron
BQ.1.5,Omicron
XBF.3,Omicron
CQ.2,Omicron
BM.2.1,Omicron
BN.1.3.7,Omicron
BQ.1.2,Omicron
EJ.2,Omicron
DN.3,Omicron
BA.5.2.57,Omicron
BA.5.2.56,Omicron
BS.1.1,Omicron
BQ.1.1.3,Omicron
BA.2.75.2,Omicron
BQ.1.23,Omicron
BA.2.75.5,Omicron
BA.1.17,Omicron
BN.1.3.6,Omicron
BA.5.1.12,Omicron
BF.11,Omicron
BQ.1.2.3,Omicron
CL.1,Omicron
BR.3,Omicron
XBM,Omicron
BA.5.2.34,Omicron
BQ.1.8,Omicron
BF.7.7,Omicron
CK.3,Omicron
BQ.1.25,Omicron
BF.7.4.1,Omicron
BQ.1.1.52,Omicron
BQ.1.18,Omicron
XBJ.1,Omicron
BF.14,Omicron
XBB.3,Omicron
CM.3,Omicron
BA.4.6.5,Omicron
DF.1,Omicron
BA.5.2.35,Omicron
BF.7.20,Omicron
BA.5.2.13,Omicron
BQ.1.1.31,Omicron
CP.8,Omicron
CP.1,Omicron
BF.7.6,Omicron
CK.2.1,Omicron
BN.1.2.2,Omicron
BA.5.11,Omicron
BQ.1.14,Omicron
BQ.1.1.68,Omicron
BQ.1.1.67,Omicron
BN.1.1.1,Omicron
BF.7.4,Omicron
BA.5.1.36,Omicron
BQ.1.1.18,Omicron
CM.4,Omicron
BN.1.9,Omicron
XBB.2,Omicron
CM.2,Omicron
BQ.1.8.2,Omicron
BM.1.1.3,Omicron
BA.5.2.6,Omicron
BA.5.2.27,Omicron
BA.5.10.1,Omicron
BQ.1.11,Omicron
BA.5.1.27,Omicron
BA.5.2.36,Omicron
BR.1,Omicron
BA.5.2.42,Omicron
BQ.1.1.15,Omicron
CH.1.1.3,Omicron
CH.1.1,Omicron
CH.1.1.2,Omicron
CH.1.1.1,Omicron
CH.1.1.11,Omicron
BN.1.2.4,Omicron
XBB.2.7,Omicron
CR.1.1,Omicron
BF.7.4.2,Omicron
BN.1.3.12,Omicron
BF.7.5,Omicron
XBD,Omicron
BE.4.2,Omicron
BA.4.6.3,Omicron
BN.1.5,Omicron
BQ.1.1.11,Omicron
BF.11.4,Omicron
XBB.1.1,Omicron
BA.5.2.52,Omicron
BF.7.12,Omicron
BE.4.1.1,Omicron
BQ.1.1.4,Omicron
BF.25,Omicron
BM.4.1.1,Omicron
BF.31.1,Omicron
BF.7.24,Omicron
XBB.4,Omicron
XBB.3.1,Omicron
EE.1,Omicron
BF.7.19,Omicron
BE.4.1,Omicron
BN.1.2.3,Omicron
CV.1,Omicron
BE.1.2,Omicron
XBB.1.46,Omicron
BQ.1.22,Omicron
BA.5.2.62,Omicron
DN.2,Omicron
CM.2.1,Omicron
CA.7,Omicron
BF.8,Omicron
BF.7.21,Omicron
BF.13,Omicron
BN.1.3.5,Omicron
BA.5.2.18,Omicron
BF.5.5,Omicron
BA.5.1.25,Omicron
BF.7.9,Omicron
CM.5,Omicron
BR.5,Omicron
BA.2.75.1,Omicron
BA.5.1.7,Omicron
BQ.1.7,Omicron
BA.2.83,Omicron
XBB.1.5.37,Omicron
EG.1,Omicron
XBB.1.16.1,Omicron
FL.4.6,Omicron
XBB.1.5,Omicron
FK.1.3.2,Omicron
XBB.1.9.2,Omicron
XBB.1.5.22,Omicron
XBB.1.16.11,Omicron
XBB.1.16,Omicron
FK.1.1,Omicron
HH.2,Omicron
FL.2,Omicron
XBB.1.5.1,Omicron
FL.1.1.1,Omicron
FL.3,Omicron
FU.3,Omicron
XBB.1.16.22,Omicron
XBB.2.3.3,Omicron
XBB.1.5.44,Omicron
XBB.1.5.15,Omicron
GS.1,Omicron
BH.1,Omicron
BN.6,Omicron
BA.2.75.6,Omicron
BA.2.75.7,Omicron
BA.5.2.37,Omicron
HH.1,Omicron
GY.5,Omicron
FL.3.1,Omicron
XBB.1.16.2,Omicron
XBB.1.16.10,Omicron
XBB.1.16.21,Omicron
XBB.1.5.41,Omicron
XBB.1.16.8,Omicron
EG.1.6,Omicron
FY.2,Omicron
GJ.1.2,Omicron
XBB.1.16.20,Omicron
FU.2,Omicron
XBB.1.19.2,Omicron
XBB.1.16.13,Omicron
FU.1,Omicron
XBB.1.16.9,Omicron
GF.1,Omicron
XBB.1.5.97,Omicron
XBB.1.5.18,Omicron
FV.1,Omicron
XBB.1.5.13,Omicron
FL.2.3,Omicron
FD.4,Omicron
XBB.2.3.1,Omicron
XBB.1.16.4,Omicron
FL.15,Omicron
XBB.1.9.1,Omicron
XBB.2.3.12,Omicron
XBB.2.3,Omicron
FL.23.1,Omicron
EG.5.1,Omicron
EG.5.1.1,Omicron
FK.1.4,Omicron
FK.1.1.2,Omicron
FK.1.5,Omicron
XBB.1.42.2,Omicron
XBB.1.5.69,Omicron
FL.4,Omicron
FY.3.1,Omicron
FL.4.1.1,Omicron
XBB.2.3.2,Omicron
FL.4.8,Omicron
FL.6,Omicron
FT.2,Omicron
FL.13,Omicron
EU.1.1.2,Omicron
FL.5,Omicron
JK.1,Omicron
XBB.1.5.16,Omicron
FK.1.1.1,Omicron
XBB.1.5.34,Omicron
XBB.2.3.6,Omicron
FY.1,Omicron
FY.3.2,Omicron
DV.1.1,Omicron
XBB.1.5.23,Omicron
FE.1.2,Omicron
GR.1,Omicron
XBB.1.22.1,Omicron
FU.2.1,Omicron
FL.4.4,Omicron
XBB.1.24.3,Omicron
XBB.1.16.5,Omicron
XBB.1.5.59,Omicron
FK.1.3,Omicron
FK.1.2.1,Omicron
XBB.1.5.30,Omicron
EU.1.1,Omicron
GJ.1.1,Omicron
BA.1.17.2,Omicron
AY.127.3,Delta
FU.5,Omicron
XBB.1.5.51,Omicron
XBB.1.16.19,Omicron
XBB.2.3.5,Omicron
XBB.1.5.62,Omicron
FL.4.5,Omicron
FL.18.1.1,Omicron
XBB.1.5.92,Omicron
GE.1.3,Omicron
GJ.3,Omicron
EG.4,Omicron
GJ.1,Omicron
XBB.1.5.50,Omicron
FK.1,Omicron
XBB.1.16.12,Omicron
FE.1.1,Omicron
BN.1.3.1,Omicron
BA.5.2.23,Omicron
DA.1,Omicron
BA.5.2.45,Omicron
CB.1,Omicron
BA.5.2.54,Omicron
CM.5.1,Omicron
BS.1,Omicron
BF.34,Omicron
BA.5.2.29,Omicron
BF.7.8,Omicron
BA.5.2.63,Omicron
BQ.1.1.17,Omicron
DQ.1,Omicron
BN.3.1,Omicron
BA.2.75.4,Omicron
BQ.1.3.2,Omicron
XBB.1.35,Omicron
BF.16,Omicron
BQ.1.16,Omicron
XBB.1.39,Omicron
BQ.1.1.69,Omicron
BQ.1.1.5,Omicron
BQ.1.3,Omicron
CH.1.1.24,Omicron
BQ.1.1.1,Omicron
XBB.1.15,Omicron
BA.5.3.3,Omicron
BQ.1.12,Omicron
BA.4.6.2,Omicron
CP.6,Omicron
BA.5.1.33,Omicron
DB.1,Omicron
BQ.1.1.72,Omicron
BF.7.13.2,Omicron
BF.11.1,Omicron
CK.1.2,Omicron
CM.12,Omicron
BA.5.5.1,Omicron
BQ.1.1.23,Omicron
CN.1,Omicron
BQ.1.1.13,Omicron
BQ.1.13,Omicron
CM.11,Omicron
BQ.1.1.35,Omicron
BL.3,Omicron
XBB.2.1,Omicron
BQ.1.1.8,Omicron
XBB.8,Omicron
BA.5.2.25,Omicron
EW.2,Omicron
BN.1.10,Omicron
XBB.1.4,Omicron
CK.2.1.1,Omicron
CM.5.2,Omicron
BQ.1.1.77,Omicron
XBB.3.2,Omicron
CD.1,Omicron
BA.2.27,Omicron
CE.1,Omicron
BF.7.22,Omicron
CL.1.3,Omicron
CH.1.1.27,Omicron
BA.5.12,Omicron
CP.1.2,Omicron
BV.2,Omicron
XBB.1.13,Omicron
BF.30,Omicron
BQ.1.1.58,Omicron
CP.8.1,Omicron
CM.10,Omicron
BQ.1.19,Omicron
EF.1,Omicron
BQ.1.2.1,Omicron
BQ.1.1.32,Omicron
BE.9,Omicron
BN.1.2.6,Omicron
BN.5,Omicron
BQ.1.1.40,Omicron
BN.1.2.5,Omicron
XBB.1.38,Omicron
BQ.1.1.7,Omicron
BA.5.2.31,Omicron
BA.1.1,Omicron
BA.2.37,Omicron
BA.1.1.14,Omicron
BA.2.4,Omicron
BA.2.23,Omicron
BA.2.78,Omicron
BA.2.36,Omicron
BA.1.17.1,Omicron
BA.1,Omicron
BA.1.1.15,Omicron
BA.2.49,Omicron
BA.2.12,Omicron
BA.1.1.1,Omicron
BA.2.3.9,Omicron
BA.2.20,Omicron
BA.2.43,Omicron
BA.2.3.4,Omicron
BA.2.19,Omicron
BA.5.8,Omicron
BA.2.22,Omicron
BA.2.52,Omicron
BA.2.3.1,Omicron
BA.2.24,Omicron
BA.2.3.7,Omicron
BA.2.61,Omicron
BA.2.40,Omicron
BA.2.3.17,Omicron
BA.2.32,Omicron
BA.2.3.14,Omicron
BA.2.7,Omicron
XL,Omicron
BA.2.41,Omicron
BA.2.9.1,Omicron
BA.2.3.5,Omicron
BA.2.8,Omicron
BA.2.3.13,Omicron
AY.129,Delta
XAM,Omicron
BA.2.73,Omicron
BA.2.9.4,Omicron
BA.2.71,Omicron
BA.2.3.18,Omicron
BA.2.38.4,Omicron
BA.2.34,Omicron
BA.2.47,Omicron
BA.1.21,Omicron
BA.1.15,Omicron
BA.1.20,Omicron
BA.1.1.7,Omicron
AY.112.2,Delta
AY.125,Delta
BA.1.1.13,Omicron
B.1.351,Beta
AY.100,Delta
BA.1.18,Omicron
BA.2.79.1,Omicron
BA.2.48,Omicron
XN,Omicron
BA.2.3.6,Omicron
BA.2.9.7,Omicron
XE,Omicron
BA.2.21,Omicron
AY.33,Delta
AY.30,Delta
AY.4.5,Delta
AY.25.1,Delta
AY.26,Delta
AY.57,Delta
AY.118,Delta
AY.74,Delta
B.1.427,Epsilon
AY.46,Delta
AY.3,Delta
AY.16,Delta
AY.42,Delta
JN.1.35,Omicron
JN.1.32,Omicron
JN.1.4,Omicron
JN.1,Omicron
JN.1.5,Omicron
JN.2,Omicron
JN.1.1,Omicron
JN.1.32.1,Omicron
JN.1.20,Omicron
JN.1.4.5,Omicron
JN.1.11.1,Omicron
JN.1.8,Omicron
JN.1.22,Omicron
JN.1.3,Omicron
JN.1.28.1,Omicron
JN.1.29,Omicron
JN.1.30.1,Omicron
JN.1.18,Omicron
JN.1.19,Omicron
JN.1.4.7,Omicron
JN.1.39,Omicron
JN.1.16,Omicron
BA.2.86,Omicron
JN.1.1.6,Omicron
JN.18,Omicron
JN.1.6,Omicron
JN.1.4.6,Omicron
JN.14,Omicron
JN.1.28,Omicron
JN.1.51,Omicron
JN.1.56,Omicron
JN.1.11,Omicron
JN.1.31,Omicron
KP.1,Omicron
HK.3.2,Omicron
HK.3,Omicron
JG.3,Omicron
JN.1.16.2,Omicron
XBB.1.16.6,Omicron
JN.2.1,Omicron
JD.1.1,Omicron
FL.1.5.2,Omicron
JN.1.48,Omicron
JN.1.51.1,Omicron
JN.1.47,Omicron
JN.1.52,Omicron
BA.2.86.1,Omicron
JN.1.43,Omicron
JN.1.17,Omicron
JN.1.10,Omicron
EG.5.1.8,Omicron
HV.1,Omicron
JE.1.1,Omicron
JN.1.7,Omicron
JN.1.8.1,Omicron
JN.1.37,Omicron
JN.1.9,Omicron
BA.2.86.3,Omicron
JN.1.36,Omicron
JN.1.45,Omicron
JN.1.4.3,Omicron
JN.1.43.1,Omicron
JN.1.23,Omicron
JN.1.34,Omicron
JN.1.4.1,Omicron
JN.1.49,Omicron
EG.5.1.6,Omicron
KP.1.1,Omicron
JN.1.16.1,Omicron
JN.1.7.2,Omicron
XBB.1.5.20,Omicron
JN.1.55,Omicron
JN.1.1.5,Omicron
JN.1.48.1,Omicron
JN.1.18.2,Omicron
KP.1.1.1,Omicron
JN.1.42,Omicron
JN.1.21,Omicron
JN.1.8.3,Omicron
JD.1.1.1,Omicron
JN.1.15,Omicron
